epoch,loss,model_1_1_loss,model_1_1_sparse_categorical_accuracy,model_1_2_loss,model_1_2_sparse_categorical_accuracy,model_1_3_loss,model_1_3_sparse_categorical_accuracy,model_1_loss,model_1_sparse_categorical_accuracy,val_loss,val_model_1_1_loss,val_model_1_1_sparse_categorical_accuracy,val_model_1_2_loss,val_model_1_2_sparse_categorical_accuracy,val_model_1_3_loss,val_model_1_3_sparse_categorical_accuracy,val_model_1_loss,val_model_1_sparse_categorical_accuracy
0,9.939536094665527,2.4431588649749756,0.37353822588920593,2.4237608909606934,0.3785020709037781,2.3303678035736084,0.35989153385162354,2.6249163150787354,0.34956610202789307,9.172679901123047,2.382129430770874,0.354275107383728,2.326265811920166,0.35566914081573486,1.971645712852478,0.4348512887954712,2.4380838871002197,0.35102230310440063
1,8.156302452087402,1.9995946884155273,0.49472108483314514,1.9397903680801392,0.5137758255004883,1.874312400817871,0.5172985792160034,2.268467664718628,0.4221126139163971,8.746770858764648,2.2766613960266113,0.4332249164581299,2.2170557975769043,0.4619888365268707,1.8489197492599487,0.5413568615913391,2.3522579669952393,0.4180297255516052
2,7.836223602294922,1.9181132316589355,0.527190089225769,1.8534080982208252,0.5509039163589478,1.7849459648132324,0.565547525882721,2.2084217071533203,0.44748449325561523,8.565084457397461,2.2310311794281006,0.4455854892730713,2.1388466358184814,0.48447954654693604,1.8143092393875122,0.5569238066673279,2.325269937515259,0.4150092899799347
3,7.742776870727539,1.8989088535308838,0.5301188230514526,1.821287751197815,0.5584917068481445,1.7638565301895142,0.5644421577453613,2.188952684402466,0.4470919370651245,8.512084007263184,2.217822551727295,0.44284385442733765,2.1219077110290527,0.4854089319705963,1.8083972930908203,0.5579925775527954,2.312565803527832,0.41417285799980164
4,7.708130836486816,1.8906532526016235,0.52985018491745,1.8102681636810303,0.5618336796760559,1.762071132659912,0.560165286064148,2.176292896270752,0.45495352149009705,8.501127243041992,2.2133877277374268,0.44186803698539734,2.123427391052246,0.483643114566803,1.8061047792434692,0.5507899522781372,2.30086612701416,0.4160780608654022
5,7.675135135650635,1.8867374658584595,0.5294679999351501,1.8035125732421875,0.5631766319274902,1.7583783864974976,0.5606146454811096,2.158263683319092,0.4664824306964874,8.505486488342285,2.232632875442505,0.4407063126564026,2.1260735988616943,0.49163568019866943,1.8014320135116577,0.5507435202598572,2.2843358516693115,0.4312267601490021
6,7.6453166007995605,1.8834881782531738,0.5297107696533203,1.797982096672058,0.5655785202980042,1.7546095848083496,0.5639411211013794,2.141685962677002,0.47730371356010437,8.467246055603027,2.2225615978240967,0.43043678998947144,2.114621639251709,0.4944702684879303,1.8012809753417969,0.5492100119590759,2.271545886993408,0.43763941526412964
7,7.609120845794678,1.876635193824768,0.5341373682022095,1.7920552492141724,0.5702530741691589,1.74301278591156,0.5724793672561646,2.1280336380004883,0.48891013860702515,8.417287826538086,2.206271171569824,0.45074349641799927,2.1003615856170654,0.5018122792243958,1.7823818922042847,0.5631970167160034,2.268360137939453,0.44586431980133057
8,7.531246662139893,1.8578202724456787,0.5450826287269592,1.7760101556777954,0.5791063904762268,1.7143908739089966,0.5895609259605408,2.1085033416748047,0.5056405067443848,8.308143615722656,2.1821699142456055,0.4686802923679352,2.0810251235961914,0.5061802864074707,1.7453519105911255,0.5950743556022644,2.232856512069702,0.47732341289520264
9,7.424468040466309,1.8320667743682861,0.5596745610237122,1.759467601776123,0.5822417140007019,1.6745662689208984,0.6110950708389282,2.076002597808838,0.522598147392273,8.240522384643555,2.1599209308624268,0.47249069809913635,2.070178985595703,0.5093865990638733,1.7075448036193848,0.6110129952430725,2.212991237640381,0.47997212409973145
10,7.366177558898926,1.8180652856826782,0.565413236618042,1.7495391368865967,0.584230363368988,1.6528348922729492,0.6199948191642761,2.0608530044555664,0.5259659290313721,8.191679954528809,2.1368188858032227,0.4804368019104004,2.070101499557495,0.5090148448944092,1.706300973892212,0.6155204176902771,2.202317714691162,0.4854089319705963
11,7.327012538909912,1.8068418502807617,0.5693543553352356,1.7413536310195923,0.5863636136054993,1.6431376934051514,0.6235072016716003,2.0516152381896973,0.5283884406089783,8.166516304016113,2.138946771621704,0.48164498805999756,2.064708948135376,0.5128252506256104,1.6891260147094727,0.6209572553634644,2.197134017944336,0.4885687828063965
12,7.299487113952637,1.8001492023468018,0.5716580748558044,1.7346917390823364,0.5865805745124817,1.6353724002838135,0.6262603402137756,2.0461771488189697,0.529638409614563,8.122459411621094,2.1268045902252197,0.48327139019966125,2.056743621826172,0.5107342004776001,1.6761822700500488,0.6246282458305359,2.1864848136901855,0.49038103222846985
13,7.276011943817139,1.7926315069198608,0.5739824175834656,1.7304126024246216,0.5882541537284851,1.6286308765411377,0.6283057928085327,2.041165590286255,0.5317355394363403,8.10669231414795,2.1224753856658936,0.48647770285606384,2.0502381324768066,0.5144051909446716,1.6702687740325928,0.6270910501480103,2.1825437545776367,0.49163568019866943
14,7.250366687774658,1.7872968912124634,0.5753357410430908,1.722486972808838,0.5898863673210144,1.6229571104049683,0.6297675371170044,2.036087989807129,0.5332954525947571,8.081413269042969,2.1166906356811523,0.48940521478652954,2.0451953411102295,0.5157063007354736,1.661580204963684,0.628903329372406,2.1814799308776855,0.490938663482666
15,7.21427059173584,1.7772620916366577,0.5785123705863953,1.7144238948822021,0.5928667187690735,1.612555742263794,0.6350671648979187,2.026860237121582,0.5374483466148376,8.018303871154785,2.110369920730591,0.4931226670742035,2.0201456546783447,0.5276951789855957,1.6489907503128052,0.6396840214729309,2.1575162410736084,0.5020446181297302
